review_text,review_posted_date,review_header,review_rating,review_author
"So great for hydration for those who are athletic and need a healthy alternative to sugary ""electrolyte"" drinks...you know what I am talking about. :-) My only complaint is that I cannot drink the plain coconut water by itself due to the flavor, so it goes into pancake mix or protein smoothies as it takes on the flavor of what it is mixed with. Happy hydration!",04 Nov 2015,Hydration without all the sugar,5.0 ,Jen
"This tastes like a very watery pina colada, which, after a workout and you need to rehydrate, is a good thing. Children probably wouldn't like it, mine don't, but I do like a nice cold Coconut Water after working out. I don't like bananas, which is the way a lot of people get their potassium, so I drink one of these each day to get some of what I'm lacking. My only complaint is that I wish it came with a straw attached like most juice boxes do. You can peel of the silver sticker on the top to expose the opening, but I would prefer a straw.",25 Mar 2012,"I don't like bananas, so I drink this for potassium",4.0 ,W. Macindoe
"The first carton was kinda what I expected but after that, I was able to drink them frequently. I would order again. I like them. I crave them now.",05 Aug 2018,I like them. I crave them now,4.0 ,angie
Delicious! Refreshing. So glad that Amazon carries the variety pack. Love it! Definitely will buy again.,09 Jul 2017,So glad that Amazon carries the variety pack,5.0 ,Islesfan27
I love that coconut water!! Love that it isn't from concentrate! Love that is pineapple! Love that is cheaper than my local Walmart! Buy it!,16 Mar 2019,Love it!,5.0 ,Juan Carteno
Really didn't like this. So sour! Nothing like lemonade. It was bad enough that we tried it and poured the rest out immediately.,04 Feb 2019,Extremely sour. Wouldn't buy again.,1.0 ,Kindle Customer
"I HATE coconut water. With that said, this flavor it amazing. You can't taste the coconut water, it just taste good. I have problems with low potassium so I have to drink coconut water and keep track of my daily potassium intake. Drinking this makes it much easier for me to ensure I have had enough potassium. This stuff is really good. The lemonade is ok. The pineapple is amazing!",05 Sep 2014,You can't tell you're drinking coconut water. Its just good.,5.0 ,HLJAAEJEJH
Very refreshing! Must drink cold! Great water supplement for when I get bored of drinking regular water! Pineapple flavor is very subtle. Will definitely buy again!,03 Mar 2019,JMD,5.0 ,JMD
"I got this during a Gold Box deal, but the price is good even without that deal. I found that I was drinking a lot of VitaCoco and it was more cost effective to order a 12-pack online than keep buying single ones. I didn't like other coconut water brands/flavors that I tried, but the pineapple flavor is actually super yummy! It's refreshing and gives it just the right amount of tartness to balance out the sweetness of the coconut.",16 Jun 2013,Great value!,5.0 ,Caitlin A.
I have really tried to cut back on my consumption of soft drinks and substitute for more H2O. These are a nice change of pace from regular coconut water with two different flavors.,06 Jul 2018,These are a nice change of pace from regular coconut water with two ...,5.0 ,Jean
"I'm trying to make some healthy choices and coconut water over soda is one of them, but they sure don't make it easy. This stuff isn't good. Actually, it's rather yucky, but it's healthier than pop/soda, so I'm committed. The pineapple is probably the best I've tasted, but that's not saying much. I love pineapple and this stuff almost makes me hate it, but not quite. I will keep drinking it though, because I don't like what soda does to me. I just wish this stuff would start to grow on me, and soon!",09 Apr 2012,It's not horrible either.,3.0 ,Yankee
"Drinking fresh coconut water is commonplace in Miami, where growing up, you could easily find roadside vendors selling ""Coco Frio"". They take a coconut, give it a couple of well-placed cuts with a machete to cut open a small notch on one end, insert a straw, and bingo! You're enjoying a great, natural, and healthy drink. This product is probably the closest you'll get to duplicating that fresh taste, plus it has the additional benefit of mango & peach puree giving it an additional flavor boost. Plus, it's got electrolytes.",17 Jul 2013,Almost as good as fresh Coco Frio,5.0 ,Jonathan Meola
"As with any type of food, I guess, whether you like it or not is a matter of taste. I enjoy the taste of this drink, but I think I would not have when I was a child or a teen, but my taste buds then liked heavily processed foods and beverages that were full of sugar and/or artificial ingredients. Over the years I have come to enjoy eating and drinking more healthy foods that are not always the one that can be found at a convenience store or at a fast food place. Anyway, the one factor that surprised me is that even though the drinks come in a juice box type container that even has writing on it that says ""it is like sticking a straw in a coconut,"" yet there are no attached straws. Anyway, one more positive comment is that that shipping was very fast.",10 Mar 2012,"I enjoy it, but...no straw?",4.0 ,PhotosTexas
"Consciously, I feel very healthy when I drink Vita Coco. I drink 1/2 container every day and it seems to help with aches and pains and head aches. This isn't one of my favorite flavors but I like it. The only problem that I have with it (and I used to use auto ship) is that the price keeps increasing. Also, I wish the shippers would make up their mind. Sometimes it ships in the manufacturers box and sometimes they put it into another box. Save money, just ship in the box from the manufacturer.",09 Nov 2013,Good for you. Good stuff.,5.0 ,sdenmark
"My son loves these, but I guess I didn't look at the description well enough. I thought that these were the larger size. That's my only complaint. They arrived on time.",07 Jul 2018,Good buy but they're the smaller size.,4.0 ,love story addict
I drink one or two of these every day. They quench my thirst better than water and give me energy as well. The flavor is amazing.,28 Nov 2018,Refreshing,5.0 ,anita
"I love this stuff! The package arrived very quickly as usual with Amazon shipments. I was a little apprehensive about ordering these from Amazon because of comments that the product tasted sour or spoiled. I would say only one out of the case tasted sour, the others were fine; that may have been because it wasn't as cold as I am used to. I will order these again from Amazon.",20 Oct 2014,I love coconut water!!,4.0 ,MrsDrown
I love these they are excellent for hydration and this flavor is to me the best one. I use one each day.,24 Aug 2017,Yummy,5.0 ,barbara a huggins
"This isn't something you drink for pleasure - at least I don't. I drink it because it's supposed to be good for me, and because I'm trying to cut out soda. The peach & mango is way better than the plain or the tropical, but it's still not something I can honestly say I enjoy. I'll keep drinking it though, because I keep reading things that say it will do me good, and I don't want to keep drinking soda like I do. It's better to drink this when it's really cold, and it's easier if you drink it really fast.",09 Apr 2012,It's not horrible.,3.0 ,Yankee
"Love the convenience of having these babies delivered to my doorstep via the Amazon stork. The problem, as you can see above, is the price. The 11.1-ounce container will last you about 3 gulps, especially after a long run, tennis match, etc., so I always have to caution myself not to drink two dollars away in two seconds when I'm too thirsty. Um, but should I really have to do that? Maybe I'm too poor (cheap). The truly annoying part about the price is that it fluctuates dramatically. I've paid as low as $13, and as high as $20, and guess what? It's just not very exciting to pay the $20 after getting it for $13. $20 is a reasonably good deal for the 16-ounce size, but too much for these gulp-unfriendly versions.",19 Sep 2013,"Head-clearing, hydrating, and, yes, hella-expensive",4.0 ,10s Reader
This project was expired by a month when it was received.,30 Jun 2017,Expired,1.0 ,Matt Hurst
"The package I received expires just a few days from now which is disappointing that nobody caught that before shipping it out to a customer. The customer service representative was amazing and is having another box overnighted to me to replace these. I love the actual product thou, they are wonderful!",17 May 2017,"Product almost out of date when recieved, customer service was great with correcting mistake",5.0 ,Katlyn S.
"Very good product but box came damaged which had nothing to do with the product. Somehow one of the cartons got slit opened, prob at the post office n the delivery box was mushy wet. I reported it and Amazon made good on the problem. I think this item is fairly priced n I like that it is harvested from India. I only wish it was organic.",20 May 2015,Tastes Great,5.0 ,Dea
"I wanted to get on the Coconut water band wagon as its a healthy drink and when I go out and party a little too hard, it helps the hangover. I didn't like the taste of regular coconut water and thought id give the lemonade flavor a try. It tastes great.",19 Apr 2016,Great drink,5.0 ,Beau Bradshaw
love this flavor!!!,16 Mar 2019,one of my favorite drinks!,4.0 ,kingsou
"A rather disappointing product. Quite flavorless with no discernible coconut flavor at all. A weak pineapple flavor is all I tasted. So disappointing, that I have no desire to try another Pak. I'll probably just give away the other 11 tetra paks in the case, in the hope that someone else likes this product. I was tempted to give it a one star rating, but I'll reserve that for something really awful. This was merely tasteless and disappointing.",15 Mar 2012,Flavorless,2.0 ,cattledog
"I am not sure if my batch was bad, but this tastes nasty. There is no Pineapple flavor to it at all. I have had coconut water in the past and it never tasted like this.",21 Mar 2015,Pineapple Coconut water. Yuck!,2.0 ,Frank S.
Awesome recovery drink post workout... love the tropical fruity flavor,01 Oct 2018,Island breeze,5.0 ,Wen V.
"I have tried numerous coconut waters... check their ingredients. While some use lots of ingredients or additives, this one is pure and very tasty especially with their options of other fruits. Only others I enjoy have a little sugar and small coconut bits in them which is pretty decent but not as flavorful as vita coco.",15 Mar 2014,One of the best Coconut waters,5.0 ,Steve
"I buy Vita Coco Coconut Water LEMONADE flavor for my 86 yr old mother. Mom has some health issues and needs to stay hydrated, don't we all? Her favorite flavor (the only one she'll drink regularly) is lemonade and it's not always available in local stores so being able to order it for her here is perfect.",08 Sep 2016,Love the lemonade!,5.0 ,SM Abbott
Yummy when cold.,07 Apr 2019,Hydrated,5.0 ,P. Honey
"Delicious coconut water - although, the Mango flavor is slightly bitter/sour. I like that these aren't loaded with sugar and are reasonable in calories. Great way to hydrate when out at the beach or on the boat - even after a workout. Love it!",07 Jun 2016,Yummy!,5.0 ,EKR0225
I’m love is,12 Jun 2019,I’m like it,5.0 ,kanikar smyth
I have been drinking coconut water for about six months and had a hard time finding the right one. I needed a smaller package so I could monitor how much I am drinking during the day. This product is perfect. Just the right size and the price is great. I even signed up for auto delivery. Great idea - now I will not run out of this wonderful alternative to soda!!,21 May 2013,WOW - GREAT PRODUCT-GREAT PRICE,5.0 ,Kathy
"These are delicious! My 4 year old loves them! They have a few different flavors but the pineapple is the best. With the kids involved in so many activities these are a really good at hydrating them. These are also much better cold, try them after they are in the fridge for a while. Will buy again!",16 Apr 2015,"Best flavor! Very good, even the kids love them!",5.0 ,*ProfessionalMomma*
These are delicious and refreshing. The pineapple taste pretty much takes over though so you can barely taste the coconut. I like pineapple so i can't complain.,16 Dec 2017,The pineapple taste pretty much takes over though so you can barely taste ...,4.0 ,Kitt
Delicious ! A Sweet Delight ! Want It All ! Thanks Again Amazon ! A Number Two Helper ?? Pacing One Self ? Loving It !,05 Apr 2018,Nature's Goody !!,5.0 ,t49y
"These drinks are good, but the package I received has a carton smashed and had leaked all over the packaging. So I lost one whole carton of drink. 3 stars is for the packaging more than the drink itself.",22 Feb 2017,Leaked and lost.,3.0 ,Dee Dee
If you're like me you really enjoy the all around effects of vita coco but you're not really keen on the taste then I suggest you try another flavor this one tastes really similar to the original. This stuff pretty much tastes exactly like the original flavor with a slight hint of peach and mango but no real flavor. If like me you're looking for some stuff that tastes better than the original I highly suggest getting the pineapple flavor (pretty much tastes like a watered down pina colada),06 Sep 2012,Only buy if you really like the original flavor,2.0 ,Jilly from philly
Love that it has variety and then if you like one flavor more than the other then you can just order that flavor.,01 Aug 2018,Refreshing,4.0 ,Amazon Customer
Be aware that these are 11.1 fl oz and not the 16.8 fl oz that theses typically come in from the store.,12 Aug 2018,11.1 fl oz,4.0 ,Amazon Customer
"I use this the rehydrate with. I love it as and alternative to water. I don't know how much sugar it has, but its not overly sweet. It has a great taste. Only thing I don't like, and this is more a complaint to the Tetra Paks is you may *think* you have more beverage but it wont come out. I think it kinda get stuck in the folds or cant make it through the small opening at the top.",20 Aug 2014,"Tastes great, not overly sweet.",5.0 ,Tiffany Vanita
"This is simply a clean, super tasty beverage. No added sugars. Just good coconut water with pineapple. It comes in the perfect package size, and has only 80 calories per container. A great beverage that anybody can enjoy. One further note: coconut water can be an inaccessible flavor for some people....the pineapple really brings it together and makes it palatable for peeps who would otherwise turn their nose up at the coconut flavor. Enjoy!",14 Mar 2012,Super tasty,5.0 ,Peter Faden
"Excellent beverage, I drink it everyday to maintain a balance of electrolites as I work long hours and enjoy good health!",17 Sep 2018,Excellent Beverage for Everyone!,5.0 ,Mary Willis
"I love this brand of coconut water and was excited to find them on here in the multi pack. My excitement ended when I received my order and EVERY single last one of them were EXPIRED!!! Unacceptable!!! As u can see in the picture I attached, some even say Dec 2015...I received them today on FEBRUARY 10th!!!",10 Feb 2016,Expired merchandise,1.0 ,Kindle Customer
"I have purchased Vita Coco Coconut Water multiple times. I have never been anything but completely satisfied with the taste, consistency and quality of this product. Vita Coco brand is a brand that I can trust. I know that when I buy items from this company I am going to get a good quality product in good packaging that tastes amazing. Coconut water is a great addition to a healthy diet. It provides many key nutrients and helps keep the body hydrated. My remarks are my experience with the product. Your experience with the product may vary, however I aim to provide a honest review of the product. I hope that this review helped you. If it did please kindly check the box that states that it was helpful.",29 Jul 2016,Coconut water is a great addition to a healthy diet. It provides many key nutrients and helps keep the body hydrated.,5.0 ,TM
"I love this brand of coconut water! The pineapple coconut water is my absolute favorite! I drink one almost every morning. I also love the 11 oz packages they are the perfect size for me, the 16 oz boxes are a little too much for me. Unfortunately one of my containers had a puncture in the inner lining. The coconut water saturated the box material and molded. I didn't realize until I had taken a huge swig that the product had gone bad. So I would be extra careful and check all of your containers, but other than that it is a wonderful product.",12 Nov 2018,"Love this product, but...",3.0 ,morgan rund
"Wow you either love or hate this product...I love it...but I had to play with it to find the right way to drink it, you may wonder what that means. Well I love peach & mango drinks & love coconut water anyway....but this product has to be VERY VERY cold to be at its best or it taste like a pasty product. I find that if you let it get just a bit frozen like a soft slurpee/slushee it is really good or just very very cold will work. I have seen some ppl post very negative remarks on here & think some may be exaggerating just a bit & some may not really know what to expect from a drink like this...nothing wrong with that just dont be so dramatic about it really. One thing I have found a GREAT use for this with is Jamba Juice now sells frozen packs of it tops selling smoothies in stores now, so I like to buy my favorite Mango a go go & use the mango/peach coconut juice to blend the smoothie instead of using the apple juice that it calls for...you could use any of the vita water favors to mix with any of the flavors. Instead of hating something try mixing it with something else & finding ways to create a healthy drink. Bottom line I love it.",22 Sep 2011,Mango Slushee,4.0 ,Msmojo
"Can anyone really say anything bad about coconut water? In addition to all of the health benefits, this one has pineapple- which is a natural remedy for a sore throat. I always try to keep a few of these on hand to help with coughing fits during a cold. Even when healthy, this is just delicious! The packaging was from Amazon, so it was excellent as always and arrived with Prime 2 day shipping. I will definitely purchase again!",15 Sep 2015,Great purchase!,5.0 ,Heather Pierce
"I bought this because I thought that putting Peach and Mango may be good and I would be buying it again. Boy how wrong was I to think that. I would never, ever buy this again. The taste is beyond awful. I gave it one star would have given it 0 stars if I could. My friends and two family members all said the same thing that I did. They either put the cap back on it and threw it in the trash or they poured it down the drain and threw the container away. And this was after just one sip of this coconut water. If you buy this after my review of how bad this coconut water taste then I would say that your taste buds are messed up. ( the coconut water with pineapple was way, way better).",28 Aug 2018,DO NOT BUY!!!!!!!!!!!!!!!!!!!!!!!!!!,1.0 ,Stephanie
"I grew up in the tropics and had a lot of coconut water and mangos while growing up. I was excited to get this version of Vita's excellent coconut water. I opened one of the containers and took a swig immediately as I opened the box. Ugh! The mango aftertaste in this drink is the worst of the different mango flavors. It overpowers both the coconut and peach flavors. I can't even taste the peach in the drink. I let it chill to see if the aftertaste would go away, but was not so lucky. The flavor that overpowers everything is what you get when you leave the peeled mango out in the open for a day or two. It's way past ripe going to starting to get rancid. I put several other containers in the fridge to chill. I got the same results. It's a bummer because I was looking forward to drinking it. The version with pineapple is much much better than this one. I still like the straight coconut water drink the best. It tastes just like the fresh coconuts that my family used to cut down from the palms and drink with a straw.",04 Mar 2019,Mango aftertaste overpowers everything,3.0 ,"Hector Sosa, Jr"
"This is my favorite brand of coconut water. Despite some negative reviews, I've fortunately never had a problem, nor been disappointed in the taste or quality. I'm not one to buy into the hype surrounding certain products, but I must admit that all of the positive things I've heard about coconut water have held true for me. Maybe the most noticeable thing is how much more ""hydrated"" I feel after drinking it. I work 12 hour shifts as an RN and this really helps as I often am too busy to drink as much as I should. I've replaced most of my other juices with this, and I also love using it to make smoothies.",06 Jul 2014,Tastes best ice cold ...,5.0 ,DeeDeeRN
"Coconut water usually tastes disgusting, but when you throw in pineapple, it is reeeeally tasty. If you need to drink coconut water, and you hate the regular stuff (like me), definitely try this - you will be pleasantly surprised with how well it tastes. This is still 100% natural, and doesn't have additional ""natural"" flavors added to it.",15 Jun 2015,1000% better than plain coconut water,5.0 ,JT
"I came on here to review the coconut water lemonade and found others who received expired stuff. I checked, hoping that was the issue, but mine didn't expire for a few more months. Now I can say with certainty, this is disgusting. It was too tart and not a very good combination of the two flavors. The only time the flavor was tolerable was when I mixed it with coconut rum. That was pretty tasty, but I bought it so I could drink throughout the day, not so the only way I can drink it was with alcohol.",16 Oct 2018,Pick something else,1.0 ,bigbird
"It is so light and refreshing. Instead of reaching for a sports drink after a long, sweaty day of work in the heat, I grab a cold one of these. Has to be the pineapple flavor. The other fruity ones are very meh. And plain coconut water is pretty yuck. But the pineapple is a home run! We also give to our toddler instead of Pedialyte!",06 Apr 2019,So refreshing. Be sure to chill it!,5.0 ,Minnemama2017
"Addictive! Without the pineapple, it tastes like stinky sweat socks. With pineapple, very delicious! I can’t get enough of this stuff!",14 Sep 2018,it tastes like stinky sweat socks,5.0 ,RJL
"Mold , huge clumps of mold fell out as I opened and began to pour one. I still had 5 months b4 expiration. Date.mim sure amazon will replace but I question the product quality.",06 Aug 2015,Mold!,1.0 ,awisewoman
I love this! It Is alittle sugary and tart. I like to mix it with pure coconut water if the same brand. It taste great! This is also a great brand that isn't from concentrate and in my research they do use a medium temp for pasteurize for 5 sec. Which kills some of the nutrients but is better than some brands that can kill it all. For the price it's a good quality and taste.,14 Dec 2016,I love this! It Is alittle sugary and tart,5.0 ,nebeker1
I am currently battling a potassium deficiency problem and in the past year have drank a ton of V-8 for the high potassium. At first I didn't mind this because I love Bloody Mary's but after 9 months I can barely get a small can of V-8 down and I am not a big fan of banannas. I saw this add on Facebook for Coconut Water and saw that it has the same amount of potassium as V-8. I bought a pack and have been drinking it for about a week. According the the reviews the pineapple seemed to be a big hit so I went with that. It tastes exactly like you would imagine a mixture of coconut and pineapple. I can't say I'm in love with it but it is 100% better than choking down the V-8. I have actually drank this every night after my workout for the hydration and potassium benefits. I will probably re-order as I haven't been able to find this in the local stores.,18 Mar 2012,Coco Water with Pineapple,4.0 ,Kellie Collins
"I tried the lemonade style and and it just doesn't do it. It needs sugar -- it just tastes like a sour lemon squeezed into coconut water, which I could make at home for a lot less money. In fact, I think I will! Edit: i realized I do not like drinking out of these paper-type containers. When i finally poured the liquid into a glass, and over ice, it tasted much better. I'll bump it up to 4 stars from 3.",12 Sep 2016,not as good as it sounds; better over ice,4.0 ,Eden Elizabeth
"If you love coconut water, you'll love this flavor! Super refreshing and hydrating. The flavor is delicious and I like it much better than just plain coconut water. The flavor tastes natural and doesn't taste artificial at all. I would definitely buy again.",15 Mar 2019,Delicious!,5.0 ,Amanda
"The first time I ordered the Vita Coco, I got the plain flavor. The second time, I ordered this in 2-packs of 12. The flavor was the one I ordered, but it was spoiled (sour). I saved the lot numbers and info as both were the same batch and I had to discard it as it was not safe for me to give this to my disabled husband who usually benefits from the super-hydration properties of this product. We were very disappointed and surprised that this would happen.",16 Nov 2014,We were very disappointed and surprised that this would happen,1.0 ,Happy Amazon customer
"After two rounds of chemo, my system was shot. Couldn't keep sodium and potassium levels up, nor prescribed supplements and meds down. Found SmartWater and it was helpful, but missed things that tasted good (which, buy the way, also help to incourage an appetite). There are now many types of coconut water on the market these days, and of the many brands and flavors available, Vita Coco Coconut Water with Pineapple, 11.1-Ounce Tetra Paks (Pack of 12) is by far my favorite. Buying bulk also gets the most for my money. This size fits easily in purse or car glovebox (though I like it best chilled).",04 Jul 2012,Terrific electrolyte replacement,5.0 ,Melissa Rivers
"I love coconut water and I love mango and I love peach. I was so disappointed when I got this drink. My friend had tried warning me and he was right. The fruit flavor is so overpowering that it tastes artificial with a chemical aftertaste. I cannot drink it. I had a case of twelve and, rather than waste it, I tried it watered down in a smoothie. It was awful. I could not even drink it. I wish I could give it negative 100 stars.",05 Sep 2018,Awful Artificial After Taste,1.0 ,Lauren Kretzer
"Love This! I’ve bought this multiple times from Amazon, and every time the item has arrived fully sealed up and in its own box for added safety. I Will continue to purchase this from amazon, Some might find the taste a little too sweet and I would agree, so I highly recommend adding a pinch of Pink Himalayan Salt To each bottle before drinking it, I find it balances out the flavors quite nicely and it taste amazing.",18 Oct 2018,Love It!,5.0 ,jennifer
"I have tried a few different brands of coconut water and this is by far my favorite. Anyone that's disappointed in the flavor has probably never tried coconut water before, as it has a VERY faint flavor. You should not expect this to taste like a sugary juice. This particular brand, the pineapple version specifically, is the most flavorful (and delicious) kind that I've tried. It's definitely best when very cold, so wait for it to chill before you drink it! I had to put this on subscription!",01 Mar 2013,Delicious!,5.0 ,Shannon
First time having this flavor. It’s really good. I like it more than the pineapple I usually get. I haven’t found this size container in stores lately. Happy to find this here. Good for a post workout refuel.,26 Feb 2019,Nice,5.0 ,Alicia Albright
I like this. I was not so impressed with it at first but I shook it well and mixed half a carton ..just over 5oz into my flavored vitamin water and. .bam..can taste the pineapple..I love it and will be using it regularly,12 Jul 2017,..more than worth the price,5.0 ,Dawn B paraplegic since 85' just trying to roll with the punches
"Delicious, lots of potassium to keep you hydrated, tastes great with the pineapple flavor that gives the coconut taste more of a tang. I like these smaller portable sized containers, though they create more waste.",17 Sep 2017,tastes great with the pineapple flavor that gives the coconut taste ...,5.0 ,Tan Gent
"I think I taste more of the mango then the peach but over all I like the Vita Coco water with flavors then just by itself. I am not in the food science world but I think Coconut water is made by taking the coconut milk and separating the cream/ solids from the water part. What is left is a strong coconut flavored past that is sent somewhere else and coconut water that still has health effects and a very slight coconut flavor. It also has some weight, or thickness that is heaver then what normal water would be, it reminds me of an egg white viscosity. Drink it colder the better I say because when warm urp!",13 Sep 2012,hmm ok,4.0 ,Sven the Educated
Simply delicious. A great way to beat your thirst and get the electrolytes you need at the same tiem.,03 Jun 2018,Tastes great.,5.0 ,Gammy
"I like most of the products by vita-coco. However, I do not like the taste of this at all. Very bitter. It tastes just like lemon juice concentrate from one of those plastic lemon juice bottles mixed with coconut water. Not sweet at all. Just bitter. These flavors do not mix well. I'm sticking with the pineapple flavor.",31 Jul 2018,Bitter,2.0 ,Steve R
"I find plain coconut water to be a little unpalatable. It's an acquired taste that I have a hard time acquiring. With pineapple, I absolutely adore it. It only adds about 15g of sugar (so, two teaspoons, not too bad) but makes the taste really really enjoyable. When I do use coconut water I have a lot less soreness after my lifting sessions. I also just -feel- better. I strongly recommend this product to anyone who is active and may have tried coconut water in the past only to make a face and pass it on to someone else. Plus, the price per unit is marvelous on Amazon.",13 Aug 2012,Soreness begone!,5.0 ,Areta
"I feel like straight coconut water is an acquired taste, but these peach mango ones are just delicious. They aren't too sweet and the mix of peach and mango is more of an accent than a dominant set of flavors. The result is a cool, refreshing beverage in what i consider to be the perfect container size. Where i live, these are priced individually at an average of $1.79, which would be around $21.50 for a twelve pack. So, for the current subscribe & save price of $17.65, you are saving around $4 here on Amazon (if you would have purchased twelve anyway that is). Great taste, competitive price. I am glad to have found these here.",10 Mar 2012,Clean and tasty beverage.,5.0 ,Peter Faden
"Great, however, these are not the size you buy in the store... They are a bit smaller. I thought I was getting a bargain, however, they are smaller than I expected. I know it says the size in the image and description, but I assumed there was only 1 size.",23 Aug 2014,"Great taste, thirst quenching and healthy",4.0 ,T. Lamonica
"My 3 ""Packs of 12"" showed up as 36 cartons of lemonade dumped into 1 box- 2 of these cartoons were leaking causing a big sticky mess in 1 big box. I was hoping for 3 boxes of 12 neatly packaged cartons as one of the 'pack of 12"" is a bday gift for a fitness friend. I am disappointed with this product and the way I received it.",18 Mar 2015,Beware of Messy Shipping,2.0 ,M. Palmer
